"tbl_dt","cnt","msisdn_distinct","DEPOSIT_QTY","DEPOSIT_AMT","mom_withdrawal_qty","mom_withdrawal_amt","mom_bill_payment_qty","mom_bill_payment_amt","mom_send_qty","mom_send_amt","mom_received_qty","mom_received_amt","mom_bank_transfer_qty","mom_bank_transfer_amt","gsm_nau_amt","gsm_dab_qty","gsm_la_days_qty","gsm_active_days_qty","gsm_nta_amt","gsm_out_calls_qty","gsm_uniq_out_bnum_qty","gsm_in_calls_qty","GSM_ACTIVE_DAYS_QTY","gsm_uniq_in_anum_qty","gsm_dat_vol_amt","gsm_me2u_received_qty","gsm_me2u_received_amt"
20191201,18346884,18200552,1356432,62035044381,1099513,63964001900,646743,9060383686.17,352389,44110826514.51,355696,44114748958.38,5703,2212942525,5828452.136807999,2761692,73144915597,6104124,3763169325,,,,6104124,,132811882.16846752,89896,99211870.25
20191202,18368822,18215448,1586438,116928455206,1209255,105096343370.32999,664856,12060529672.15,458604,114394465284.86,462598,114918251193.86,9049,4297067557,5985388.742001999,2966814,73176458468,6204708,4343664649,,,,6204708,,127844522.09994698,93197,124738772.5
20191203,18379389,18228858,1490174,104447310609,1113716,140423406535,652356,11119803477.1,424876,94335321973.44998,428664,94668478398.45,8580,3722110777,8583302.670670021,2835421,73183242980,6124846,4149741777,,,,6124846,,141921644.6341772,92393,123408132
20191204,18395926,18242858,1560858,104591965321,1189061,99045644521,668739,11650108692.65,452008,100630666626.18999,456594,101055979605.38997,8295,3759176639,6181714.296665999,2867411,73207711531,6131741,4147139818,,,,6131741,,142749320.11399746,92461,121215586
20191205,18412637,18257656,1516461,106482020001,1194331,110476174369.11,637395,10898705183.15,454575,103282521027.39001,458357,103585922506.39,8140,3756731362,6968872.493339005,2925438,73228101532,6187051,4137312603,,,,6187051,,142382191.74785995,94429,119806902.75
20191206,18427712,18272297,1546955,113987710242,1231896,97610282329.51999,618444,11088065966.15,459466,99781685334.97,464200,100386588573.97002,8401,4109731740,6978908.290671001,2945487,73243741184,6239757,4123265898,,,,6239757,,135663044.47523594,96013,121890385.87
20191207,18435307,18284757,1420792,83920281495,1106239,79210740339,612075,10021432332.15,402124,82837388193.79001,407745,83125403993.79001,6817,3066907363,6157754.578669,2709976,73243591499,6114646,3790143143,,,,6114646,,134857374.6179428,88560,105587563.221
20191208,18446472,18293330,1320500,61255767231,1102236,65292995457.5,521310,8521119827.7,351020,44169006161.05999,355395,44512650109.159996,5477,2199598502,6415945.976678999,2899364,73216102955,6052171,3758622840,,,,6052171,,131323325.2333231,88132,98572830.50699998
20191209,18469152,18308047,1512627,107312557913,1170072,109089947112.5,661027,11548675491.15,421919,110806999975.62003,425677,111269024650.62001,8427,3868487471,6380310.651857004,2951303,73235278722,6178292,4233132697,,,,6178292,,132409561.4318819,96802,121042424.5
20191210,18477607,18322086,1488613,101135784171,1122225,140654901178,659295,11916513835.7,429618,102614577904.36,434355,103129147194.72998,8130,3954625837,6310632.380003999,2849208,73248192375,6215320,4008240921,,,,6215320,,147164861.7990284,90966,109029451.39500001
20191211,18493009,18336505,1524713,101627626979,1177724,106310320076,648712,11750446684.7,439860,101013608438.59,444944,101480137194.87,8180,3746470999,5429680.887433999,2897488,73217938937,6172539,4089024006,,,,6172539,,154883214.06902885,95156,116725425.7
20191212,18509305,18351117,1520912,107094131239,1193906,94750254672,645659,11625608765.76,450131,102047100073.68,455166,102703107046.29002,8409,3859285708,6749052.453342003,2927845,73186219314,6211966,4056500397,,,,6211966,,160655556.49051762,94024,108202785
20191213,18521147,18365517,1499514,112855859068,1212860,113155714926.46,621741,11393338875.65,449527,103601279566.23,454605,104256301993.18999,8105,4114550624,6256742.218671998,2907698,73167333359,6246185,4024192152,,,,6246185,,166065123.39409637,93535,111253296.124
20191214,18528015,18376335,1432943,84899096665,1119768,81335274614,610547,10231865773.539999,394940,79589096954.19998,398746,79972858341.2,6548,3218948000,11581563.201345999,2742977,73138677770,6194109,3814426557,,,,6194109,,155449195.43415546,88112,106103301.799
20191215,18533181,18385843,1303536,60735312148,1063535,64276872681,595266,8392214034.549999,328161,43435553479.64001,331312,43212867760.64001,5040,2173930703,4758566.170760999,2732276,73108333832,6172784,3719535742,,,,6172784,,150707085.8421154,90821,104516045.4
20191216,18556780,18401391,1506909,109889453449,1137879,121534451768.5,647413,12042552444.15,422376,114119044739.84,425803,114484290786.84,8582,4075022072,5251384.761533,2901121,73106875229,6268628,4187534102,,,,6268628,,141086193.2517538,92077,118432041.335
20191217,18579039,18417629,1550183,108920998384,1159473,100899959004,639846,12075824421.08,454090,106141814405.45001,442117,106676738154.45001,8423,4145212481,4724798.317337002,2995953,73103978217,6320734,4211505862,,,,6320734,,147854669.99231243,97208,124375980.4
20191218,18595892,18434132,1579201,115974158460,1185849,138147822710,655135,12227292038.55,452542,110797976743.70999,458429,111358391285.70998,8435,4191409973,5395656.844322003,2992153,73096400035,6366269,4273755918,,,,6366269,,148271308.9030733,96252,124026084.05
20191219,18614340,18449707,1574400,139597078995,1222261,110503137149.04,639379,12426949010.65,480537,115446850884.28998,486569,116148062006.56,8446,4101004565,11109762.863722,3064510,73090975014,6250377,4335063317,,,,6250377,,143437827.7207241,98302,123544624.87
20191220,18633447,18465879,1678950,156062658744,1319122,143550085093,659125,13601658045.5,537300,131393627067.89,544139,132336715374.33002,9034,4626871775,13575134.864003997,3130746,73086394573,6514015,4463137840,,,,6514015,,133568780.45163155,98867,129186571.6
20191221,18640542,18480639,1729036,137813614609,1365712,119889956735,669534,13487015323.310001,542037,125945081307.07999,547505,126858714115.08002,8276,4208073497,5556464.333463001,3133856,73058080330,6570906,4471952616,,,,6570906,,134563807.98882198,97203,130805033.02399999
20191222,18653011,18493259,1565133,88474632695,1274895,93176167208,646164,10653808616.300001,440420,66214606646.39001,444236,66735220201.39,6037,2943925881,5343503.487906998,3161455,73035103601,6550308,4382946967,,,,6550308,,134223599.24814034,101416,127234899.9
20191223,18680456,18512125,2055305,182875456058,1614027,166638424290,676743,14065691482.15,638541,158650617049.86,643983,159768650720.6,9237,4767764457,6644336.425341,3524923,73044879759,6899328,5032567751,,,,6899328,,127152447.10056305,109730,151226468.9
20191224,18757787,18528540,2632392,192323229287,2221244,206500962040,719354,14515724046.65,848144,143031852810.56,852021,143762524148.56,9456,4800183091,6539477.412005,3855137,73040881686,7241067,5425531987,,,,7241067,,138993800.04504585,120051,166112446.1
20191225,18743151,18532423,1239867,44508764044,1233605,52067892211,598966,7510305797.9,444450,31942237231.61,446557,32227202268.61,4771,1819597068,10498238.452792002,3066996,72989011842,6880021,4341368648,,,,6880021,,143992380.9323082,110081,129384485.5
20191226,18742288,18539579,923479,40410801155,851666,46823005243,575548,7974357107.549999,279598,32292088200.559994,275163,32505595603.56,5202,2077629145,5006383.618748003,2660886,72975009773,6356977,3848211557,,,,6356977,,140215252.86795235,96884,110216191.94
20191227,18758768,18552823,1134047,76932206206,1013515,92555978047.5,597570,10167966953.95,341797,86148730010.16002,345699,86520399269.16,8135,3933614671,5548160.235466002,2833180,72971992715,6307790,4082798346,,,,6307790,,127865780.7496872,98871,119483410.065
20191228,18770441,18565960,1195574,68153210226,995908,73708387148,605005,9785845092.76,337397,75994932501.7,341379,76292337834.89,7313,3271610532,5082471.628920001,2770922,72965740747,6274535,3965675183,,,,6274535,,128973726.50362968,95078,110858150.949
20191229,18779402,18576791,1115886,50071832131,941107,55997382305,584453,8187123539.65,298715,38651349906.509995,302364,38993313430.509995,5390,2277846014,5890185.685335,2790400,72949276481,6265901,3870876031,,,,6265901,,132749446.26476002,99259,110742471.1
20191230,18804083,18593645,1357676,93435610762,1087861,124204342385,618700,11232744119.15,393538,107820088318.70001,397622,108226812621.7,8839,4158422333,5477800.026563001,3002072,72957162986,6401210,4341429029,,,,6401210,,129768090.56193924,100910,123630121.9
20191231,18836068,18608700,1645218,100998833266,1383579,131581725996,639747,11521618598.45,487699,104612874526.74,492424,105210266921.73999,7833,3733095031,4811645.606003999,3570826,72968140425,6648909,4881784110,,,,6648909,,132862312.9982996,112741,138432327.8
