"tbl_dt","cnt","msisdn_distinct","DEPOSIT_QTY","DEPOSIT_AMT","mom_withdrawal_qty","mom_withdrawal_amt","mom_bill_payment_qty","mom_bill_payment_amt","mom_send_qty","mom_send_amt","mom_received_qty","mom_received_amt","mom_bank_transfer_qty","mom_bank_transfer_amt","gsm_nau_amt","gsm_dab_qty","gsm_la_days_qty","gsm_active_days_qty","gsm_nta_amt","gsm_out_calls_qty","gsm_uniq_out_bnum_qty","gsm_in_calls_qty","GSM_ACTIVE_DAYS_QTY","gsm_uniq_in_anum_qty","gsm_dat_vol_amt","gsm_me2u_received_qty","gsm_me2u_received_amt"
20200401,18115262,17920818,1147787,84354917331,832936,61848650820.37,689588,11308545766,478138,73135653463.45,481921,73483176956.45,7540,3790172527,695496.0186729991,2601205,23742745160,6081104,4273885228,,,,6081104,,195192863.4489441,103290,134742315.7
20200402,18066957,17926120,1097267,96000092167,833079,72100204497,644150,10297330240,458735,74144242052.65001,462827,74544131359.15001,7398,3798134486,780298.1399999993,2560771,23735361516,5973089,4146866535,,,,5973089,,198052745.07023144,104888,132911978.051
20200403,18073249,17932520,1094658,87673891975,852099,67514313983,641561,10285665658,464079,76927000707.7,468375,77274658700.7,7978,4126508171,1037043.5465589996,2533621,23760236164,5896862,4041403454,,,,5896862,,194321029.07895374,104509,133275734.42300001
20200404,18079864,17938898,1052800,57553794501.3,856948,61284126937,614334,9369346635.52,455681,58771046752.59,460764,59122266641.99,7065,3636463620,985155.7893379992,2525762,23776406831,5888601,3944280949,,,,5888601,,192456402.2141981,107908,132779687
20200405,18087837,17944388,1013619,41543291006,848267,42951242031,607132,7956146372.2,411267,37311056271.259995,414487,37539918311.259995,5795,2832749889,872369.7686749992,2628293,23751605182,5991650,3955065775,,,,5991650,,195319304.59282303,113083,126611669.49999999
20200406,18094665,17951044,1061652,74330620209,841089,73378355773.22,603255,9818722304.1,443027,86026582860.06999,447559,86385425969.12999,8290,4860914980,719340.5740109994,2526650,23744269192,5914446,3953254989,,,,5914446,,188125482.47072887,104690,124618175
20200407,18097616,17956786,1050132,66593401914,842982,60992276335,605091,9681155172.7,441938,76818214865.50002,445923,77137243012.5,8196,4586533806,1028901.5133349998,2466174,23738990273,5792232,3900465583,,,,5792232,,194048440.4297514,104311,128779523.7
20200408,18167038,17963656,1040457,70170575645,838891,71052444677.78,600055,9656138444.5,445845,75700757793.1,451079,76056666958.09999,8300,4822641350,786870.1466719995,2441306,23844797927,5735874,3840976245,,,,5735874,,193695705.67683983,103125,130797553.745
20200409,18107614,17969208,1038379,94594656706,828314,76850606653,593974,9413711177.4,465382,80392382691.93001,469588,80851892660.83002,7968,4654767229,875228.2826699999,2440745,23874485499,5689874,3856742169,,,,5689874,,194397258.92265987,102864,126664833.12600002
20200410,18113153,17974782,1129732,58242949099,937919,56171170436,599022,9211995842.310001,526304,65233543376.93001,531015,65751479006.93001,7619,4193269705,910599.0766479998,2523402,23894526542,5799408,3851587915,,,,5799408,,191288698.34618187,110758,134088025.838
20200411,18171278,17980579,1451568,75128446005,1346744,71763120016,617313,9628603260.1,716146,76815152507.05,722001,77277573712.04999,7609,4534714051,832534.9000019999,2779335,23960056636,6068074,4100746770,,,,6068074,,181976527.30545712,118880,136564547.322
20200412,18125294,17984759,1167036,38368382987,1153562,43355549134,613896,7427582025,563826,34710779578.48,567835,34913526312.479996,5669,3052287120,839077.1659999996,2812575,23935499290,6180596,4009277965,,,,6180596,,184209147.80247116,125679,128449880.556
