"tbl_dt","cnt","msisdn_distinct","DEPOSIT_QTY","DEPOSIT_AMT","mom_withdrawal_qty","mom_withdrawal_amt","mom_bill_payment_qty","mom_bill_payment_amt","mom_send_qty","mom_send_amt","mom_received_qty","mom_received_amt","mom_bank_transfer_qty","mom_bank_transfer_amt","gsm_nau_amt","gsm_dab_qty","gsm_la_days_qty","gsm_active_days_qty","gsm_nta_amt","gsm_out_calls_qty","gsm_uniq_out_bnum_qty","gsm_in_calls_qty","GSM_ACTIVE_DAYS_QTY","gsm_uniq_in_anum_qty","gsm_dat_vol_amt","gsm_me2u_received_qty","gsm_me2u_received_amt"
20200201,18326091,18153361,1632277,113358912256,1203460,98082357230,646563,15502863062.92,450866,99128679348.94002,455268,99676510745.54002,7034,3548441083,4962195.360005999,3099019,60137375138,6566677,4312973510,,,,6566677,,157366446.84068012,103155,130457269.63399999
20200202,18333218,18164254,1531663,80838849943,1217396,82070295622,618270,14978509594,380134,51262562611.75001,384185,51685240658.75001,5131,2037606308,4758470.675586,3217627,60096500547,6672175,4274760901,,,,6672175,,142423817.01653194,110421,122541454.515
20200203,18236898,18074286,1623091,133529839480,1205040,130569621998,637775,17593794778.97,451014,121554549312.32,455554,122064364980.64,8434,4177630375,4646187.354006,3154987,55523378079,6672350,4584043071,,,,6672350,,131501150.27782631,103174,135677589.209
20200204,17752134,17592240,1672924,125771481874,1210631,134540704391,650853,15708941160.3,451219,110124873505.12,455469,110765986171.12001,8576,3854893300,4165603.5036649974,3204455,33879789626,6622780,4600012937,,,,6622780,,135177923.58564758,107368,138802526.148
20200205,17583347,17425298,1586578,116705273203,1145514,124372497344,642125,13947615889.1,442088,100794770816.48,446549,101178200136.9,8357,3853681050,4947592.426172001,3063932,25890727970,6544598,4418341860,,,,6544598,,141195246.37939072,103683,139691476.7
20200206,17594787,17440724,1518792,109332258107,1120057,92279614283,623785,12845365100.45,423925,94598012287.06999,428686,95101619790.97,8366,3883514783,5096157.900405002,3036027,25898580303,6484619,4330862586,,,,6484619,,143300844.39765835,104334,132381263.7
20200207,17614349,17456959,1592054,121611964336,1181154,111477457236,625709,12824448571,451733,108408779731.07999,455689,109027282082.07999,8080,3758962375,5238149.695339,3110709,25921945975,6561528,4419473569,,,,6561528,,140921956.06877327,107393,138114052.602
20200208,17629390,17473038,1596423,101507112930,1204878,90670140148,617289,11898476699.7,437280,94075361856.3,441806,94545741977.29999,7469,3475399935,5199479.054098,3107183,25951233653,6602094,4312016978,,,,6602094,,147003642.57617855,107624,131422292.30000001
20200209,17639643,17483827,1458219,68219838938,1178761,70805992542,582195,9943345001.76,362188,45226960686.72001,365687,45617329302.71999,5442,2317010270,3950934.0941319996,3115123,25956303309,6631406,4183573531,,,,6631406,,142068753.26063824,108692,124138111.5
20200210,17659793,17499978,1633368,118153259355,1203380,110114133088,639188,14021691949.8,444129,115104891837.54999,448217,115686748632.98,8955,4330891008,5379467.289335005,3153102,25998583900,6577146,4481517470,,,,6577146,,132666859.95775127,104549,136679491.128
20200211,17725811,17516087,1576209,112887685572,1140112,110955090530,621271,12708513953,418431,100613226628.53,422048,100947380800.53,8467,3687606633,4803603.609835001,3083535,26011632928,6560438,4394163095,,,,6560438,,136422160.73941517,103608,129855400.97700001
