"tbl_dt","cnt","msisdn_distinct","DEPOSIT_QTY","DEPOSIT_AMT","mom_withdrawal_qty","mom_withdrawal_amt","mom_bill_payment_qty","mom_bill_payment_amt","mom_send_qty","mom_send_amt","mom_received_qty","mom_received_amt","mom_bank_transfer_qty","mom_bank_transfer_amt","gsm_nau_amt","gsm_dab_qty","gsm_la_days_qty","gsm_active_days_qty","gsm_nta_amt","gsm_out_calls_qty","gsm_uniq_out_bnum_qty","gsm_in_calls_qty","GSM_ACTIVE_DAYS_QTY","gsm_uniq_in_anum_qty","gsm_dat_vol_amt","gsm_me2u_received_qty","gsm_me2u_received_amt"
20200101,18836477,18614131,1278099,48060752086,1124961,50284637846,663193,8284324263.65,358788,35754998710.16,361708,36014951279.27,3895,1348111669,5081131.064004,3256638,72932346950,6837996,4484958454,,,,6837996,,150315788.5001936,113689,126938589
20200102,18842335,18626679,1260722,77328857056,968996,85175290802,619931,10996115139.05,357620,90921387284.8,361629,91439766518.80002,8518,3953966141,4485214.480671,2958137,72938859026,6465265,4302439300,,,,6465265,,134259817.48252773,103336,127597781.8881
20200103,18716675,18502516,1336370,89524627711,1028513,92096701907,607290,10918907415.119999,365982,92120097970.48001,370305,92348337212.48,8217,3746695224,5019775.792669005,2959815,70894299507,6302205,4262369175,,,,6302205,,128413687.27764416,103512,128498194.7
20200104,18252310,18037616,1359509,77190086737,1004688,72617567069,606501,10344288652.5,347143,77334712155.73999,351297,77704206763.62999,6912,3161828021,6046086.207342998,2887123,63812038696,6273377,4087092144,,,,6273377,,127413194.59390926,100316,115292553.77
20200105,17969931,17755966,1229569,53475505438,952613,55686050000,576292,8267492036.1,290791,36519104542.009995,293737,36847999382.01,5218,2071974646,5047895.554672002,2884097,59488887445,6275997,3936032117,,,,6275997,,125873949.81045341,103120,111278279.5
20200106,17995332,17772638,1470772,93310553920,1067201,112163584865,629956,11634779103,383933,101166905899.68001,387561,101581982746.68001,8115,3858767339,4627336.607345002,3076545,59496777100,6397546,4492490152,,,,6397546,,128945995.22512627,106039,133397807.36
20200107,18017721,17789951,1464279,93560827442,1038067,109042159599,617766,11129415482,387083,87302801763.76,391859,87774060678.76,7967,3484277325,4436134.140053001,3096920,59515572520,6404370,4361607613,,,,6404370,,142498885.8474846,108777,135572192.93
20200108,18033360,17805714,1424371,92321623304,1027631,96202589079,606726,10964565790,380782,85478203662.35,384851,85869549430.35,7556,3266778796,4513774.347336001,2946998,59527511330,6355217,4240090788,,,,6355217,,147729772.36483192,107442,137286692.01
20200109,18036970,17822028,1436169,89867558879,1035289,79537474103,598492,10770130883.4,383308,83177314800.68,387021,83597476366.68,7792,3400053628,5094627.668863999,3029443,59546251440,6350496,4209773164,,,,6350496,,155343684.09916687,110490,136688924.7
20200110,18047669,17837293,1450466,97569050194,1067994,104141104212,606834,11021942771.57,396250,94830089780.61,400397,94883174766.61,7662,3436076311,6046531.436100999,2965168,59559129453,6372220,4167888956,,,,6372220,,154411939.9421568,111126,132136356.10000001
20200111,18066273,17850251,1460287,82205569814,1060163,74768462489,605929,10261487976,379607,78728432562.59,384223,79188536367.59,6935,3236065330,5157533.993339,2945721,59678723767,6347329,4004383785,,,,6347329,,158388325.01360893,106218,123399598.60100001
20200112,18015506,17860333,1260523,53472591862,978329,55915934152,561780,7968610082,304334,36009031615.2,306888,36277637339.2,4875,1950311207,5084855.553536999,2868078,59635768371,6297536,3814640951,,,,6297536,,156317370.56970406,106454,114374529.9
20200113,18038746,17876085,1480360,96941673977,1067515,89336935782,608191,11185361570.1,384373,97541066819.32999,387901,97991247242.32999,8433,3797994014,4351024.95867,3034062,59774575844,6387181,4275982355,,,,6387181,,146259442.14456654,108301,128519000.997
20200114,18054572,17891650,1506615,94397628682,1061592,120528812754,617505,11074791155,390556,88348056553.98,394315,88743521329.98,8161,3475410587,4624384.213199001,3103780,59875916708,6420245,4261427410,,,,6420245,,153276619.08701134,112152,135102108
20200115,18062759,17905332,1509859,97185021179,1074898,103527026268,569162,11203632381.6,399209,89958276298.41998,402708,90441506800.92,7914,3540440501,4761627.592007001,3013021,59920451978,6375153,4203164575,,,,6375153,,161041812.88857746,108684,125582796.4
20200116,18080230,17922154,1484397,95621300441,1072849,83825456641,624247,10825674607,406644,87298624324.03001,410394,87822716354.03001,7813,3216524374,4921117.738004,3085620,59951904167,6420169,4189718729,,,,6420169,,164788566.46419716,109645,129259107.5
20200117,18102880,17937265,1505778,109131104067,1093816,87447303311.07,621920,11057204138.9,411436,92279816145.73,415606,92811761690.73001,7489,3325570382,5315478.936000999,3546327,59980886576,6577106,4643662648,,,,6577106,,163822239.26873207,130718,144723720.73000002
20200118,18107668,17951530,1500585,85422089464,1083196,75030062245,614877,10780397100,393521,80035917732.33,397638,80501791125.33,6927,2944912619,4592749.225339999,3098651,60017544556,6391885,4102809470,,,,6391885,,166638480.08233833,109284,126203833
20200119,18112490,17961706,1315587,55552268683,1019480,57855672882,575453,8547998496.55,311564,37629112697.34999,314251,37915719356.84999,4831,1946628076,5279653.543462998,2952810,60001366796,6373251,3873971314,,,,6373251,,162965345.8603239,107854,118171844.19999999
20200120,18136295,17977870,1546978,101607981677,1107337,98006313036,609654,11679504543,402740,101080933482.37001,406274,101374039759.37,8483,3633547049,4905251.16126,3212767,60047629591,6499345,4412308120,,,,6499345,,146825299.28024387,112673,139038045.5
20200121,18153802,17994042,1565081,98892810174,1087772,100170928560.45,632713,12026353075,401925,91438391882.2,405945,91957203010.7,7982,3562495936,4015497.7690240005,3196679,60056240402,6508179,4283702985,,,,6508179,,158289772.27676964,113858,136112820.1
20200122,18166100,18009727,1518176,99228954269,1088304,112788144879.48001,624462,11983341055,411492,92557982347.76001,415650,92961607404.76,7966,3595953222,4409374.350005998,3083064,60048298703,6467448,4231228821,,,,6467448,,172046392.0186367,110662,127661062.132
20200123,18187762,18025116,1507399,93518681838,1087962,97200202701.76001,607322,11385695917.69,403010,91558163895.30002,407255,92066397528.17001,7752,3535728241,4211337.620003001,3123904,60054152521,6469486,4178573607,,,,6469486,,164928847.40409946,109069,127453571.9
20200124,18201835,18040019,1507626,109602210041,1117661,100241653890.23999,599209,10087359758,412184,96452740680.06001,416267,96912655213.87001,7846,3676038854,5473605.948617,3050098,60048696572,6512063,4190291966,,,,6512063,,168536432.0638914,107809,127133525.545
20200125,18217635,18054414,1537708,92748423752,1127377,81561769816,609297,11726018020,413130,85527307047.18001,417402,86031122567.48001,6901,3231491930,5261546.138802,3056732,60047346172,6523467,4108761127,,,,6523467,,161339713.89061165,107343,121645321.80000001
20200126,18219535,18059975,1344502,58776741694.75,1044742,60201339875,580447,9296637383.6,317146,39835895335.45999,320231,40183394442.45999,4909,1934002366,5143988.073462,2941967,59971545313,6483015,3886680228,,,,6483015,,165785819.95233917,104945,112407411.192
